task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,predicted_duration_days
Refactoring,High,Junior,Other,Critical,1,4,1,34,7,19,False,4,False,21.42
Code Review,High,Mid,Java,Low,1,3,0,19,7,8,True,4,True,17.95
Documentation,High,Senior,Other,Medium,9,4,3,35,9,6,False,1,True,16.24
Client Meeting,Medium,Mid,Java,Low,3,4,2,25,9,18,False,3,False,8.78
Feature Dev,Low,Mid,C++,Medium,6,5,3,31,2,9,False,0,False,4.65
Code Review,Medium,Senior,Other,Critical,3,3,2,41,1,5,False,1,False,6.09
Design Review,High,Mid,JavaScript,Medium,12,1,0,64,7,9,False,2,False,28.8
Refactoring,High,Junior,Java,Low,6,2,1,39,6,23,True,3,True,51.33
Design Review,Low,Senior,Other,Low,5,2,1,31,4,11,True,4,False,5.86
Design Review,High,Junior,C++,Medium,13,2,0,15,2,22,False,4,False,11.81
Bug Fix,High,Junior,Go,Medium,4,5,0,29,8,6,True,3,False,21.21
Testing,Low,Tech Lead,Python,Low,2,5,3,45,7,3,False,4,False,6.61
Refactoring,High,Junior,Python,Medium,4,1,0,79,2,10,False,0,True,66.66
Refactoring,Low,Mid,Other,Critical,6,4,3,37,5,19,True,3,True,8.66
Testing,Medium,Senior,Go,High,3,1,0,43,10,2,True,4,False,9.14
Bug Fix,High,Senior,Java,Medium,7,5,3,47,1,18,True,3,True,25.78
Feature Dev,High,Mid,Java,Medium,2,2,3,39,6,10,False,0,True,21.94
Documentation,Low,Senior,Java,Critical,12,1,2,6,6,7,False,3,False,0.7
Client Meeting,High,Junior,Go,Low,2,2,3,6,1,6,True,4,True,8.5
Design Review,Medium,Tech Lead,Go,Low,13,1,3,23,8,2,False,1,True,5.98
Feature Dev,Low,Senior,JavaScript,High,1,4,1,59,10,3,False,3,False,7.77
Refactoring,High,Mid,Go,Medium,9,3,2,9,2,7,False,4,True,7.09
Refactoring,Medium,Mid,JavaScript,High,4,4,1,56,1,6,True,2,True,20.41
Code Review,Low,Senior,C++,Low,10,1,2,76,10,22,True,2,False,12.31
Feature Dev,Low,Tech Lead,JavaScript,Medium,7,5,3,77,7,21,False,4,False,9.43
Bug Fix,High,Senior,Java,High,10,4,1,22,6,18,True,2,True,10.02
Refactoring,Medium,Mid,Java,Medium,2,2,1,41,3,13,False,4,True,19.37
Client Meeting,High,Junior,Go,Critical,3,4,0,62,7,0,False,1,True,46.04
Documentation,High,Mid,Go,Medium,6,5,2,35,9,4,True,2,True,23.62
Design Review,Medium,Junior,Java,Critical,6,1,1,55,10,11,True,3,False,19.31
Bug Fix,High,Tech Lead,Go,Critical,6,4,0,31,1,17,False,3,True,10.58
Feature Dev,Low,Senior,Go,High,13,1,2,28,5,12,True,1,False,3.12
Refactoring,Medium,Junior,Python,Medium,8,2,0,4,9,13,False,3,True,2.63
Code Review,Low,Tech Lead,Go,Medium,2,1,1,46,1,1,True,3,True,7.85
Documentation,Low,Senior,Other,Low,12,3,0,62,7,5,True,4,False,11.72
Client Meeting,High,Mid,Python,High,4,3,2,6,8,14,False,4,False,2.83
Client Meeting,Low,Junior,Other,Critical,3,4,3,20,10,4,False,0,True,5.4
Deployment,High,Tech Lead,C++,Low,3,5,0,37,1,12,False,0,True,14.57
Testing,Low,Tech Lead,Java,Low,3,3,2,25,4,11,False,0,False,2.62
Refactoring,Low,Tech Lead,Python,Medium,3,1,0,24,1,12,True,1,False,2.31
Testing,High,Senior,Java,Critical,8,5,2,52,2,6,True,3,True,22.82
Refactoring,Medium,Senior,JavaScript,Low,12,2,2,10,3,12,False,4,True,4.25
Bug Fix,Medium,Senior,JavaScript,Low,4,4,1,36,2,12,False,4,True,15.31
Feature Dev,Medium,Tech Lead,Other,Medium,3,1,0,24,2,15,True,0,True,4.72
Documentation,High,Tech Lead,Java,High,12,4,3,33,7,7,True,0,True,9.75
Refactoring,High,Senior,C++,Low,6,2,3,6,8,22,False,3,True,3.95
Deployment,Medium,Junior,C++,Critical,4,4,1,5,6,0,False,4,True,2.84
Bug Fix,High,Mid,Java,Medium,11,3,2,24,2,12,False,0,False,9.0
Refactoring,Medium,Junior,Other,High,7,5,1,13,9,20,True,0,True,5.92
Design Review,High,Tech Lead,C++,Low,9,5,2,34,7,19,False,4,True,18.74
Feature Dev,Low,Junior,JavaScript,Low,10,2,3,80,5,16,False,1,False,23.76
Design Review,High,Junior,Other,Low,5,3,3,73,9,14,True,3,True,96.09
Design Review,Low,Mid,Go,Critical,8,4,3,29,9,21,True,0,False,3.48
Documentation,Medium,Junior,Go,Low,12,4,3,72,8,12,True,4,False,40.82
Refactoring,Medium,Mid,Java,High,9,5,1,67,1,20,False,4,True,28.49
Client Meeting,High,Mid,Other,Medium,6,1,2,7,6,12,False,4,False,3.67
Deployment,High,Junior,Python,Low,3,3,1,47,6,8,False,1,False,34.9
Deployment,High,Tech Lead,Java,Medium,6,5,2,27,4,20,True,4,False,8.27
Client Meeting,Low,Mid,Go,Low,6,4,1,37,2,21,False,1,False,7.33
Deployment,Low,Senior,C++,Medium,10,2,3,79,4,22,True,2,False,10.67
Bug Fix,Low,Junior,Go,Critical,6,3,0,66,9,8,False,4,False,16.63
Code Review,High,Senior,C++,High,5,2,0,28,5,20,True,4,True,14.88
Bug Fix,Medium,Tech Lead,Java,Low,4,5,2,78,4,8,True,0,False,12.28
Testing,Medium,Senior,Python,High,5,4,0,45,6,6,True,1,True,11.28
Design Review,High,Mid,C++,Critical,12,5,0,34,7,14,False,0,True,15.3
Documentation,Low,Junior,JavaScript,Low,1,3,1,62,7,19,True,4,False,23.44
Refactoring,Low,Mid,C++,Low,5,3,1,34,9,16,False,3,True,11.93
Feature Dev,Medium,Tech Lead,C++,Low,6,5,3,61,9,14,False,2,True,17.29
Feature Dev,Medium,Senior,Go,High,12,3,2,79,7,11,False,4,False,16.8
Feature Dev,High,Mid,JavaScript,Low,2,4,2,7,3,0,True,0,True,4.72
Documentation,Medium,Mid,Go,Medium,2,2,1,18,6,10,True,1,True,6.68
Design Review,Medium,Tech Lead,Python,Medium,11,4,1,16,5,9,False,4,False,2.94
Client Meeting,High,Tech Lead,Java,Critical,12,2,3,61,8,23,False,3,True,20.82
Code Review,Low,Senior,Go,Medium,6,3,1,12,9,6,True,4,True,2.84
Feature Dev,Low,Junior,Java,Medium,10,2,0,43,10,2,True,3,True,18.87
Bug Fix,High,Mid,C++,High,8,2,1,74,8,11,True,4,True,52.45
Deployment,Medium,Junior,Other,Critical,3,2,2,65,8,10,False,2,False,21.06
Deployment,Low,Tech Lead,Java,Low,6,2,0,69,8,12,True,0,False,7.24
Code Review,High,Mid,Other,Critical,2,4,1,12,8,21,True,1,False,3.96
Testing,High,Mid,Python,High,3,2,1,77,10,19,True,3,True,50.68
Bug Fix,High,Tech Lead,JavaScript,Low,11,3,1,74,9,4,True,1,False,21.37
Design Review,High,Mid,Go,Medium,6,5,2,38,7,3,False,3,False,18.53
Testing,Low,Tech Lead,JavaScript,Medium,1,5,2,37,5,18,False,4,True,6.8
Feature Dev,Medium,Tech Lead,Python,Medium,10,2,3,12,3,1,False,1,False,1.73
Refactoring,Medium,Junior,Java,Critical,12,3,1,78,9,16,True,1,True,34.75
Code Review,High,Junior,Java,High,7,1,1,26,1,1,False,4,False,18.43
Deployment,High,Tech Lead,JavaScript,Medium,12,3,2,27,4,20,False,0,True,8.86
Testing,Low,Senior,JavaScript,Medium,7,1,2,18,8,2,False,1,True,3.34
Bug Fix,Low,Mid,Other,Medium,13,5,2,7,2,9,True,3,False,1.37
Refactoring,Low,Junior,Go,Medium,1,5,3,64,2,6,False,0,True,21.6
Feature Dev,Medium,Junior,Other,Medium,12,2,0,30,3,3,False,3,False,13.16
Feature Dev,Low,Junior,Go,Low,2,1,3,55,2,4,True,0,True,22.27
Code Review,Medium,Mid,Other,High,11,5,3,35,4,19,True,0,False,7.09
Testing,Medium,Tech Lead,JavaScript,Medium,9,1,1,62,5,16,True,1,False,8.95
Feature Dev,Low,Junior,JavaScript,Low,13,5,3,71,3,10,True,4,False,26.84
Feature Dev,Low,Senior,C++,Medium,1,5,1,50,6,23,False,0,True,8.44
Testing,High,Senior,Java,Critical,1,1,1,62,2,4,False,1,False,15.35
Design Review,High,Senior,Go,High,7,3,1,31,1,8,True,1,True,12.95
Feature Dev,Medium,Junior,C++,Low,6,5,1,65,4,17,False,2,True,47.38
Feature Dev,High,Junior,C++,Low,7,4,0,56,4,4,True,2,True,68.04
Design Review,Medium,Senior,Java,Low,4,3,0,35,1,3,True,4,False,9.92
Client Meeting,Medium,Tech Lead,JavaScript,Critical,13,3,0,51,8,18,False,2,False,6.43
Client Meeting,Low,Mid,JavaScript,Critical,2,2,2,63,7,0,True,0,True,11.34
Bug Fix,High,Junior,Python,Medium,1,4,1,16,8,12,False,0,False,9.0
Feature Dev,Medium,Junior,Go,Low,9,1,2,61,2,4,True,0,False,24.71
Code Review,Medium,Junior,Java,Low,7,4,0,35,1,14,True,2,True,25.51
Code Review,Medium,Senior,Go,High,8,3,1,55,3,3,True,0,True,12.53
Client Meeting,Low,Senior,Go,High,8,4,3,80,5,15,True,1,True,13.37
Refactoring,Low,Senior,Java,Medium,10,4,1,60,5,13,False,3,True,13.16
Bug Fix,Medium,Junior,Go,Medium,3,4,0,8,1,8,False,3,False,3.51
Bug Fix,Medium,Senior,Other,Low,13,1,0,10,8,18,False,3,True,3.95
Documentation,Low,Junior,Other,High,10,2,0,76,5,18,True,2,True,27.7
Bug Fix,Medium,Mid,Python,High,10,5,0,79,5,20,False,3,False,20.8
Testing,High,Junior,Java,Critical,10,4,0,57,7,19,False,0,False,25.65
Client Meeting,Low,Mid,Java,Critical,5,1,3,65,10,8,True,1,True,12.87
Design Review,Medium,Mid,Java,High,10,5,0,61,1,2,False,1,False,13.59
Feature Dev,Low,Mid,C++,Low,9,4,1,17,2,13,True,1,True,5.05
Documentation,Low,Junior,Java,High,11,5,3,22,2,2,False,0,False,4.46
Refactoring,Low,Junior,Go,Critical,5,3,1,24,2,14,False,4,True,9.07
Deployment,High,Senior,C++,Low,9,2,0,7,5,17,True,3,False,3.07
Design Review,Medium,Junior,Java,Medium,7,5,0,42,10,12,True,0,True,21.26
Refactoring,Medium,Senior,Java,Critical,9,5,1,63,7,18,False,0,False,8.51
Code Review,High,Senior,Java,Low,5,1,3,18,6,13,True,3,True,11.85
Feature Dev,Medium,Senior,Other,Medium,6,4,2,17,8,18,False,1,False,3.16
Code Review,High,Tech Lead,Other,High,10,4,3,73,4,23,False,4,False,20.12
Code Review,Medium,Tech Lead,Go,High,3,1,3,5,3,17,False,0,False,0.59
Feature Dev,Low,Senior,Go,Medium,11,4,2,73,9,4,True,4,True,17.25
Documentation,High,Tech Lead,Go,Medium,10,1,3,21,5,12,False,1,False,5.05
Bug Fix,Medium,Junior,Go,Low,2,3,0,31,2,18,True,2,True,22.6
Testing,High,Tech Lead,Python,Medium,4,4,3,4,6,5,True,0,False,0.88
Design Review,High,Junior,C++,High,13,1,1,50,5,9,False,1,False,27.84
Bug Fix,High,Junior,C++,High,11,1,1,41,5,0,False,3,True,40.47
Deployment,High,Tech Lead,Other,Low,13,5,1,37,10,17,True,4,True,20.4
Client Meeting,Medium,Mid,Python,High,2,4,2,56,9,3,True,2,True,20.41
Client Meeting,High,Tech Lead,JavaScript,Critical,10,5,1,78,7,22,False,2,False,16.38
Documentation,High,Junior,JavaScript,High,10,3,2,10,2,3,True,4,True,10.63
Code Review,High,Tech Lead,JavaScript,Medium,12,4,0,48,2,2,False,0,False,10.5
Code Review,Low,Tech Lead,Java,Critical,6,2,3,20,2,16,False,2,False,1.68
Code Review,Medium,Tech Lead,Python,Low,1,5,2,21,5,16,False,1,True,5.46
Documentation,Medium,Tech Lead,Other,High,13,5,3,59,8,13,True,2,False,8.36
Documentation,Low,Junior,JavaScript,High,7,3,3,60,6,17,True,4,False,17.01
Documentation,Medium,Mid,Java,Low,7,2,1,51,5,12,False,1,True,22.72
Client Meeting,Medium,Senior,Python,Low,7,3,2,33,1,0,False,1,True,11.03
Bug Fix,Low,Mid,JavaScript,Medium,13,4,3,65,8,9,False,1,False,10.73
Bug Fix,Medium,Junior,Python,Low,3,3,0,15,6,16,False,4,False,8.5
Code Review,Low,Junior,Python,Critical,10,5,3,65,8,17,True,1,True,19.31
Feature Dev,High,Senior,C++,Low,13,3,3,21,7,8,True,3,True,13.82
Feature Dev,High,Junior,Java,Low,4,5,2,33,8,10,True,3,False,28.96
Client Meeting,High,Junior,C++,High,11,2,2,37,9,5,False,1,True,30.91
Refactoring,High,Mid,Go,High,5,3,2,10,1,21,False,2,False,4.05
Design Review,Medium,Tech Lead,JavaScript,Medium,4,1,0,21,4,4,False,2,False,3.31
Bug Fix,Medium,Tech Lead,C++,Medium,4,3,1,66,3,0,True,4,False,12.13
Feature Dev,Low,Tech Lead,JavaScript,Low,11,5,0,12,10,12,True,0,False,1.26
Design Review,High,Mid,Python,Critical,10,2,2,73,9,4,False,4,True,45.99
Design Review,Low,Senior,Python,Low,12,1,0,54,8,15,False,4,True,15.31
Client Meeting,Medium,Mid,JavaScript,High,5,3,2,37,7,1,True,4,False,10.49
Bug Fix,Medium,Mid,C++,Low,1,3,1,80,2,4,False,4,False,30.24
Refactoring,High,Tech Lead,Go,Critical,10,5,1,80,1,9,False,3,True,27.3
Deployment,Low,Senior,C++,Medium,5,4,1,8,2,23,False,2,True,1.62
Documentation,Low,Mid,Go,Medium,10,4,1,70,4,7,True,1,True,17.33
Refactoring,Medium,Junior,C++,Medium,10,2,1,70,9,1,True,1,True,38.98
Bug Fix,Low,Junior,Python,Medium,4,2,0,6,2,22,False,3,False,1.76
Client Meeting,Low,Junior,Python,Critical,12,4,0,5,9,2,False,1,False,0.99
Client Meeting,Low,Senior,Python,Medium,9,3,2,35,2,18,True,3,False,5.12
Client Meeting,High,Mid,Java,High,5,4,2,16,1,0,True,0,False,5.4
Client Meeting,Low,Junior,JavaScript,High,6,5,3,60,2,10,True,0,False,12.15
Client Meeting,High,Tech Lead,C++,High,2,1,0,54,6,9,True,0,True,15.95
Documentation,Low,Tech Lead,Go,High,2,4,2,64,1,16,True,2,True,9.07
Client Meeting,Medium,Mid,JavaScript,Medium,7,5,3,24,7,19,False,0,True,8.1
Refactoring,Medium,Junior,C++,Critical,13,5,0,50,1,11,False,1,False,14.85
Deployment,Low,Tech Lead,C++,Low,12,5,1,20,1,2,True,3,False,2.73
Deployment,High,Mid,C++,Low,5,1,0,77,6,4,True,3,False,45.05
Design Review,High,Senior,Python,Critical,8,4,2,15,3,15,False,3,True,6.58
Bug Fix,Low,Mid,JavaScript,Low,10,5,3,21,7,8,True,1,True,6.24
Deployment,Medium,Junior,C++,Low,13,3,2,38,3,3,False,2,False,18.47
Deployment,Low,Senior,C++,Medium,1,5,1,20,6,15,True,4,True,4.72
Code Review,Low,Tech Lead,Java,High,7,3,0,62,3,6,True,2,False,5.86
Feature Dev,High,Mid,Go,High,12,3,0,11,2,15,True,1,False,4.08
Deployment,Low,Junior,Java,Critical,2,4,2,4,8,2,True,2,True,1.3
Bug Fix,Low,Senior,Python,Medium,8,1,0,44,3,13,True,0,False,4.95
Testing,Medium,Junior,Go,Medium,4,1,0,63,2,13,False,0,True,31.89
Deployment,Medium,Junior,Go,High,9,3,2,33,3,18,False,3,True,19.55
Client Meeting,Medium,Mid,Go,High,5,4,0,56,2,19,True,3,True,22.11
Documentation,High,Junior,Java,Low,1,3,2,9,3,11,False,1,True,10.02
Bug Fix,Medium,Senior,Java,High,8,3,1,47,3,13,True,3,False,9.28
Refactoring,Medium,Junior,Other,Critical,8,2,1,36,5,17,True,4,False,13.61
Feature Dev,Medium,Mid,C++,High,7,2,0,46,6,1,False,3,False,12.11
Code Review,Medium,Senior,C++,High,6,1,2,54,3,6,True,0,True,12.3
Refactoring,Medium,Senior,Python,Low,8,3,0,80,2,7,True,0,True,24.3
Deployment,High,Tech Lead,Python,Low,3,3,2,60,7,1,True,1,True,25.99
Client Meeting,High,Senior,Java,High,5,1,1,4,2,21,True,1,False,1.11
Design Review,High,Senior,Python,Low,3,4,0,14,6,3,False,1,True,7.8
Design Review,High,Senior,C++,High,1,4,2,9,8,3,False,1,True,3.76
Deployment,High,Junior,JavaScript,High,11,1,1,12,1,0,False,2,True,10.94
Documentation,High,Junior,Java,Low,1,3,2,20,1,6,False,0,False,13.5
Bug Fix,Low,Senior,Other,Low,4,3,1,73,6,11,True,2,False,11.83
Feature Dev,Low,Senior,C++,Low,1,1,3,66,10,18,True,0,False,8.91
Client Meeting,High,Junior,Python,Critical,12,4,3,37,1,22,True,3,False,21.65
Feature Dev,High,Mid,Other,Medium,10,3,2,78,6,7,True,0,False,29.25
Deployment,Medium,Tech Lead,Java,High,6,1,1,24,6,0,True,3,True,5.53
Client Meeting,Medium,Senior,Java,Critical,3,3,0,62,9,8,True,4,True,17.58
Feature Dev,High,Mid,Java,Medium,5,3,0,12,1,23,True,4,True,9.45
Client Meeting,High,Junior,JavaScript,Medium,1,5,3,69,5,7,True,1,True,64.04
Bug Fix,Medium,Tech Lead,C++,Medium,13,2,0,40,6,14,False,4,False,7.35
Design Review,High,Mid,Python,Medium,10,5,3,43,3,12,True,1,True,26.61
Client Meeting,High,Mid,Python,Medium,8,3,2,70,3,2,False,3,False,34.12
Code Review,High,Mid,Python,Critical,2,1,2,24,4,22,True,1,True,11.88
Client Meeting,High,Mid,Python,Medium,2,3,0,70,10,15,True,2,True,47.25
Client Meeting,Low,Junior,Go,Critical,4,5,2,46,9,17,True,4,False,11.59
Deployment,High,Tech Lead,Java,Low,7,5,0,10,6,7,False,4,True,5.51
Bug Fix,High,Tech Lead,Go,Medium,9,5,3,26,9,8,False,2,True,10.24
Bug Fix,High,Mid,Java,Critical,3,1,0,26,9,6,False,4,True,16.38
Testing,Low,Mid,Python,High,2,3,2,66,5,20,True,1,True,14.7
Bug Fix,Medium,Senior,Go,Medium,12,1,1,5,3,1,True,0,False,0.84
Feature Dev,Low,Mid,Java,Critical,8,3,1,17,4,11,True,0,True,3.06
Refactoring,Low,Tech Lead,JavaScript,Low,7,3,3,29,1,21,True,2,True,5.48
Deployment,Medium,Tech Lead,JavaScript,Critical,10,1,1,20,2,21,True,1,True,3.47
Client Meeting,High,Junior,C++,High,7,5,0,24,10,23,True,0,True,18.23
Documentation,Low,Senior,Python,Critical,7,2,1,76,2,6,True,3,False,8.89
Code Review,High,Junior,JavaScript,Critical,9,3,3,54,8,1,False,1,False,26.73
Feature Dev,Low,Tech Lead,JavaScript,High,1,3,2,36,5,20,True,3,False,3.69
Client Meeting,Low,Senior,Go,Medium,12,2,3,48,1,9,False,1,False,5.94
Testing,Low,Mid,C++,Medium,7,1,0,41,3,8,True,3,True,11.99
Design Review,High,Senior,JavaScript,Medium,2,5,0,72,8,19,True,4,False,28.35
Feature Dev,High,Mid,Other,High,12,1,3,37,4,6,False,1,True,20.6
Documentation,Medium,Mid,JavaScript,Low,6,5,1,32,4,8,True,0,True,12.96
Bug Fix,Low,Senior,Other,Critical,7,1,2,38,6,14,False,4,False,4.79
Deployment,Medium,Tech Lead,C++,High,12,3,1,50,4,13,False,4,False,8.27
Documentation,Medium,Tech Lead,Other,Critical,13,1,3,30,5,4,True,1,False,3.47
Documentation,Medium,Junior,Go,Low,10,3,2,69,2,10,True,3,True,54.49
Design Review,Medium,Tech Lead,C++,High,8,2,0,34,1,14,False,1,True,6.63
Design Review,High,Junior,JavaScript,Medium,7,1,2,10,5,20,True,1,True,9.28
Client Meeting,Low,Senior,JavaScript,High,4,1,3,76,7,7,False,1,True,12.7
Code Review,Low,Junior,C++,High,3,2,0,14,6,23,False,0,False,2.83
Design Review,Low,Mid,JavaScript,High,12,2,3,68,8,8,False,3,True,17.9
Bug Fix,Medium,Mid,Other,Medium,11,1,3,47,3,7,False,3,False,13.75
Feature Dev,High,Tech Lead,C++,High,7,2,1,63,1,3,False,0,True,18.6
Design Review,Low,Tech Lead,Go,Low,1,3,2,70,1,1,True,1,False,8.09
Feature Dev,High,Mid,Python,High,3,3,3,28,2,13,True,4,False,13.23
Testing,High,Junior,Java,Critical,9,1,3,25,1,6,True,1,False,12.38
Design Review,Medium,Mid,Go,Critical,3,1,1,77,8,7,False,1,False,15.25
Design Review,High,Mid,Java,Medium,3,2,3,33,10,6,True,0,False,12.38
Design Review,Medium,Mid,JavaScript,Medium,3,2,3,58,2,16,False,0,False,13.05
Client Meeting,Low,Junior,Go,Critical,1,5,1,53,10,15,True,4,True,20.03
Testing,Medium,Junior,Python,Low,8,1,1,54,2,11,True,4,True,45.93
Bug Fix,Medium,Tech Lead,Other,High,9,3,3,65,4,10,False,2,True,13.82
Feature Dev,Low,Mid,Other,Medium,3,2,0,17,10,9,False,1,False,2.81
Refactoring,High,Mid,Other,Medium,3,3,3,11,7,5,False,1,False,4.54
