task_type,complexity,assignee_level,tech_stack,task_priority,story_points,team_size,num_dependencies,estimated_hours,sprint_day,created_hour,remote_work,meetings_today,blocker_flag,predicted_duration_days
Deployment,Low,Mid,C++,Critical,8,4,0,19,9,9,True,2,True,4.1
Deployment,High,Tech Lead,Java,Low,13,5,0,5,8,2,True,0,True,1.97
Feature Dev,High,Senior,Java,Medium,5,3,3,31,1,11,False,3,False,11.33
Bug Fix,High,Tech Lead,Python,Critical,2,4,2,59,6,12,False,3,False,13.42
Documentation,Low,Tech Lead,Go,Medium,4,3,2,6,1,19,False,1,True,0.87
Documentation,Low,Tech Lead,Other,High,4,4,1,27,3,2,True,2,True,3.83
Code Review,Medium,Junior,JavaScript,High,8,2,3,10,2,10,False,4,True,6.38
Bug Fix,Medium,Junior,Other,Low,1,1,3,23,7,0,True,4,True,19.56
Feature Dev,Medium,Senior,Go,Medium,11,3,3,47,10,14,True,1,False,8.72
Documentation,High,Mid,JavaScript,Critical,2,5,1,17,5,18,False,3,True,9.95
Documentation,Medium,Mid,Other,Critical,11,4,2,34,3,0,True,0,False,6.12
Feature Dev,High,Tech Lead,C++,High,3,5,1,43,7,17,False,2,True,15.24
Deployment,High,Mid,JavaScript,Low,1,1,1,6,9,12,True,0,False,2.7
Client Meeting,Low,Senior,Python,Low,9,3,2,30,3,15,True,3,True,7.9
Code Review,High,Mid,Java,High,7,2,3,80,4,0,True,0,True,40.5
Code Review,High,Junior,Go,Medium,2,5,3,70,2,23,True,2,True,70.88
Feature Dev,High,Mid,JavaScript,High,2,3,1,10,10,23,True,0,False,3.38
Testing,High,Tech Lead,C++,Critical,2,2,3,54,3,17,True,4,True,19.84
Feature Dev,Low,Tech Lead,Go,Low,6,5,2,62,5,14,True,2,True,11.72
Bug Fix,Low,Junior,JavaScript,Medium,11,2,0,59,8,6,False,4,False,18.59
Feature Dev,Low,Junior,Other,High,3,4,1,64,7,23,False,0,True,19.44
Client Meeting,Medium,Tech Lead,C++,Low,9,4,3,54,3,21,True,3,True,16.58
Client Meeting,High,Senior,Python,Low,12,4,1,62,7,5,True,1,False,23.02
Client Meeting,Medium,Tech Lead,Go,Low,10,2,3,54,2,12,False,1,True,14.03
Refactoring,High,Junior,C++,High,10,5,1,44,10,17,True,1,False,24.5
Design Review,High,Tech Lead,C++,Critical,3,4,2,67,7,9,True,4,True,24.62
Refactoring,Medium,Junior,JavaScript,Low,2,3,0,60,2,12,False,3,True,47.39
Bug Fix,Low,Senior,C++,High,13,1,3,14,2,9,False,0,True,2.13
Design Review,Low,Junior,Other,Medium,5,3,1,70,8,17,False,2,False,18.9
Code Review,High,Mid,Other,Low,13,2,1,6,2,3,True,2,True,4.86
Bug Fix,High,Tech Lead,Other,Low,8,3,1,77,1,12,False,1,True,33.35
Feature Dev,Low,Mid,C++,Medium,2,5,0,53,3,1,True,3,True,15.5
Code Review,Low,Senior,Java,Critical,11,4,1,37,10,14,False,1,False,3.66
Documentation,Low,Senior,C++,Low,13,3,2,54,10,11,False,3,False,9.48
Code Review,High,Tech Lead,Go,Critical,13,2,2,42,5,11,True,2,False,8.82
Bug Fix,Medium,Tech Lead,Other,Critical,9,5,3,49,9,6,False,4,True,10.8
Documentation,High,Mid,Other,High,11,5,3,24,7,15,True,3,False,10.53
Documentation,High,Senior,Java,Medium,1,4,3,50,9,15,True,4,False,19.69
Testing,Low,Tech Lead,Go,Medium,11,3,2,35,7,19,False,4,True,6.43
Design Review,Low,Senior,JavaScript,Low,6,1,1,72,5,12,False,1,True,16.04
Code Review,Medium,Mid,JavaScript,Medium,13,5,1,76,1,22,False,3,True,33.34
Deployment,Low,Senior,JavaScript,High,11,1,1,75,1,2,False,1,False,8.35
Refactoring,Medium,Junior,JavaScript,Low,11,2,0,42,6,0,True,4,True,35.72
Documentation,Low,Senior,Java,Low,3,4,2,33,4,15,False,1,True,7.35
Bug Fix,Low,Mid,Java,High,10,1,2,25,7,11,True,3,False,4.39
Feature Dev,High,Tech Lead,Other,Critical,3,3,0,10,9,11,False,1,True,2.89
Refactoring,High,Senior,JavaScript,High,6,1,2,59,1,19,True,4,True,31.36
Design Review,Low,Junior,C++,High,6,3,2,32,8,22,True,3,True,12.64
Deployment,Low,Junior,C++,Critical,4,2,3,36,7,3,True,0,False,6.48
Deployment,Medium,Tech Lead,Other,Medium,13,4,2,16,3,13,True,4,False,2.94
Refactoring,Low,Tech Lead,C++,Medium,1,5,0,58,10,7,True,4,False,7.1
Testing,Low,Mid,Go,High,2,4,3,11,5,10,True,2,True,2.67
Feature Dev,High,Tech Lead,C++,Medium,11,1,1,31,5,7,True,2,False,8.14
Bug Fix,High,Senior,Other,Medium,1,2,2,35,7,9,False,0,True,14.77
Refactoring,Low,Mid,Python,Medium,5,2,3,50,6,14,False,3,True,14.62
Bug Fix,Low,Senior,JavaScript,Low,12,3,2,28,2,16,True,2,True,6.8
Client Meeting,High,Senior,Java,Low,1,2,3,65,2,21,True,2,True,39.49
Client Meeting,Low,Junior,Other,Critical,10,2,3,47,2,14,True,1,True,13.96
Client Meeting,Low,Junior,Other,Low,12,5,3,33,10,4,True,0,True,13.37
Client Meeting,High,Junior,JavaScript,Critical,4,4,3,65,2,0,False,1,False,32.18
Deployment,Low,Tech Lead,Other,High,6,5,0,51,4,1,False,2,False,4.82
Code Review,Low,Mid,Python,Medium,13,4,1,75,8,17,True,1,False,12.38
Design Review,Low,Mid,Go,High,9,4,3,54,1,7,True,2,True,13.12
Testing,Medium,Tech Lead,Other,Critical,11,3,2,12,9,22,True,1,False,1.39
Refactoring,High,Junior,Python,Low,4,5,1,61,3,2,True,2,True,74.11
Testing,Low,Senior,C++,Low,2,5,2,24,3,0,True,1,True,5.35
Design Review,Low,Mid,Python,Medium,11,1,3,70,2,23,False,1,False,11.55
Code Review,Low,Junior,Other,Critical,4,4,0,63,9,18,False,3,False,14.74
Deployment,Low,Junior,Python,Low,6,2,0,36,2,1,False,0,False,9.72
Bug Fix,Medium,Mid,JavaScript,High,13,1,2,17,3,6,False,0,False,3.44
Bug Fix,Low,Junior,Go,High,13,3,2,37,6,13,False,1,False,8.24
Design Review,Medium,Tech Lead,Python,Medium,8,4,3,14,4,14,False,0,False,1.84
Feature Dev,Medium,Mid,Go,High,7,1,1,55,7,14,True,0,False,11.14
Design Review,Medium,Mid,C++,Low,4,5,3,40,1,5,True,1,False,11.88
Client Meeting,Low,Senior,JavaScript,Critical,7,2,3,58,4,23,True,0,False,5.22
Bug Fix,Low,Tech Lead,C++,Low,11,3,1,17,6,5,False,4,True,3.75
Bug Fix,High,Tech Lead,Go,Critical,4,4,2,65,1,8,False,2,False,13.65
Refactoring,High,Tech Lead,Go,Critical,1,2,3,74,9,7,True,0,False,12.95
Refactoring,Low,Tech Lead,Other,Medium,7,2,0,48,10,5,True,4,True,8.82
Feature Dev,Medium,Junior,C++,High,10,2,2,12,1,8,True,3,True,7.11
Bug Fix,Low,Tech Lead,Java,Medium,9,2,2,65,2,16,True,0,True,8.53
Refactoring,Low,Tech Lead,Other,Critical,11,1,3,46,8,16,False,4,False,4.51
Documentation,High,Tech Lead,Go,Low,6,2,1,17,8,3,True,2,False,5.35
Design Review,Medium,Senior,Go,Low,9,5,0,5,7,2,False,1,False,1.11
Client Meeting,Low,Junior,C++,Medium,2,2,3,50,6,14,True,3,True,21.94
Client Meeting,High,Senior,Go,Critical,4,4,0,15,10,6,True,3,True,6.58
Code Review,Low,Mid,Other,Low,8,1,3,67,6,6,True,0,False,12.06
Testing,High,Mid,C++,Low,13,2,0,64,10,16,False,2,True,51.84
Code Review,Medium,Junior,Java,Critical,11,2,2,41,6,16,False,4,True,23.25
Design Review,High,Tech Lead,Java,Low,3,4,2,31,10,20,True,1,False,8.95
Design Review,Low,Tech Lead,JavaScript,Low,10,2,2,75,2,20,False,3,False,10.24
Feature Dev,Low,Mid,Other,Medium,7,1,0,73,7,7,False,2,False,13.14
Bug Fix,Low,Senior,JavaScript,Medium,2,3,3,31,1,19,True,0,False,3.49
Client Meeting,High,Senior,Go,Low,11,5,3,43,6,18,False,1,False,15.96
Code Review,High,Mid,Other,Low,8,4,1,46,2,13,False,4,True,43.47
Bug Fix,Low,Mid,Go,Critical,4,4,3,7,8,22,True,0,False,0.84
Testing,High,Senior,Python,Medium,5,2,1,25,5,3,True,0,False,7.03
Testing,Low,Mid,C++,High,5,1,0,73,2,20,False,2,False,11.83
Feature Dev,Medium,Senior,Java,Low,3,3,1,51,1,22,False,3,False,13.43
Design Review,High,Junior,Python,Critical,11,1,2,57,5,0,False,0,False,25.65
Deployment,Medium,Mid,Go,Low,4,4,0,44,5,20,True,2,False,14.26
Bug Fix,High,Junior,Go,Medium,7,1,0,7,4,10,False,2,False,4.72
Feature Dev,High,Mid,Python,Medium,4,4,3,52,7,18,False,4,True,40.95
Feature Dev,High,Senior,Java,Medium,9,4,0,76,5,2,True,4,True,44.89
Code Review,High,Mid,JavaScript,Medium,5,2,2,4,7,13,True,4,True,3.15
Documentation,Medium,Mid,Java,High,11,5,1,34,5,6,False,2,True,12.39
Refactoring,Medium,Tech Lead,Go,High,12,1,3,50,5,5,False,1,True,9.75
Client Meeting,High,Mid,Go,High,6,1,3,38,4,10,True,4,False,17.96
Feature Dev,High,Senior,Go,High,8,1,1,76,7,19,False,2,False,23.09
Testing,Medium,Junior,C++,Critical,6,1,2,62,2,17,True,0,True,25.11
Design Review,Medium,Mid,Go,Critical,4,3,2,55,7,16,False,3,False,12.87
Refactoring,High,Senior,C++,Low,7,1,3,6,7,18,True,0,False,2.02
Deployment,Low,Junior,Python,Medium,13,5,2,61,2,10,False,3,False,17.84
Client Meeting,Medium,Senior,Python,High,2,5,3,6,2,12,False,2,False,1.09
Feature Dev,Low,Senior,Other,Medium,6,5,3,77,9,10,True,2,False,10.39
Code Review,High,Senior,C++,Critical,12,5,1,66,6,9,True,1,False,16.34
Feature Dev,High,Tech Lead,Python,Critical,12,5,1,46,8,3,False,0,True,12.08
Design Review,Low,Mid,Go,High,12,4,3,26,7,9,True,3,True,6.84
Refactoring,High,Senior,Go,Medium,13,4,0,53,4,10,False,1,True,24.6
Bug Fix,Low,Junior,Java,Critical,9,5,3,80,6,2,True,0,False,14.4
Refactoring,Medium,Mid,Other,Critical,8,3,3,64,1,6,False,2,False,13.82
Feature Dev,Low,Mid,Other,Critical,4,3,2,40,4,20,False,3,False,6.24
Testing,Low,Junior,Go,Low,11,2,1,32,6,14,False,0,False,8.64
Code Review,Medium,Mid,Python,Critical,5,3,2,63,8,13,True,3,True,22.11
Client Meeting,Low,Tech Lead,C++,High,12,1,3,67,5,15,False,4,False,7.39
Documentation,High,Mid,JavaScript,High,3,5,2,28,8,23,False,2,True,17.01
Testing,Medium,Tech Lead,C++,Critical,9,4,2,7,5,4,True,3,False,0.96
Deployment,Medium,Junior,JavaScript,Critical,6,2,2,15,2,10,False,1,True,6.68
Code Review,High,Junior,Python,Low,10,3,0,56,6,12,False,4,True,79.38
Testing,High,Senior,Other,High,6,2,2,58,6,7,False,1,True,24.22
Feature Dev,Medium,Tech Lead,Python,Low,1,3,3,7,10,23,True,0,True,1.65
Testing,Medium,Senior,C++,Low,2,5,3,44,2,2,True,2,True,16.04
Deployment,Medium,Tech Lead,C++,Low,5,3,3,61,7,2,False,4,False,13.45
Code Review,Medium,Tech Lead,Other,Critical,7,4,1,6,6,22,True,2,False,0.76
Design Review,High,Senior,Python,Low,5,2,1,33,1,23,True,4,True,23.39
Deployment,Medium,Senior,Python,High,5,4,1,72,7,5,True,0,False,10.94
Code Review,Medium,Junior,Java,Low,9,4,3,8,5,15,False,3,True,6.32
Testing,High,Junior,JavaScript,Critical,12,5,2,25,5,14,False,2,True,20.25
Code Review,Low,Senior,Go,High,5,1,0,25,4,16,False,1,False,2.78
Bug Fix,High,Tech Lead,C++,High,8,4,2,16,4,2,True,2,True,5.67
Refactoring,High,Mid,Python,Medium,6,5,2,29,5,13,False,4,True,22.84
Design Review,Low,Senior,Other,Medium,12,1,3,74,10,10,False,4,True,17.48
Refactoring,Medium,Junior,Java,Critical,6,3,0,52,8,11,True,1,True,23.17
Bug Fix,High,Mid,JavaScript,Low,9,1,0,29,9,2,False,3,True,25.45
Documentation,Low,Mid,JavaScript,Medium,2,5,2,77,8,23,True,0,True,17.32
Feature Dev,Low,Senior,Java,Critical,4,3,0,15,5,23,False,0,True,2.03
Testing,Low,Senior,Other,High,6,2,0,12,6,7,True,1,True,2.0
Documentation,Medium,Junior,C++,Critical,9,1,0,10,10,23,False,2,False,3.24
Design Review,Medium,Tech Lead,C++,Critical,4,3,2,42,2,17,True,4,True,9.26
Feature Dev,Medium,Senior,JavaScript,Medium,1,4,2,14,10,23,True,0,False,2.36
Bug Fix,High,Tech Lead,Other,Critical,12,5,0,6,1,22,True,1,False,1.16
Feature Dev,High,Junior,C++,Medium,7,5,1,23,2,20,False,2,False,15.52
Feature Dev,High,Tech Lead,Go,Critical,3,1,1,38,8,18,True,0,True,9.98
Design Review,High,Mid,Java,High,8,2,1,74,8,1,True,1,True,41.21
Code Review,Low,Tech Lead,JavaScript,High,10,4,1,36,4,17,False,0,True,4.25
Design Review,Low,Senior,JavaScript,Medium,12,1,2,69,1,22,True,4,False,10.87
Code Review,Medium,Junior,JavaScript,Low,3,2,2,5,7,11,False,3,False,2.63
Deployment,Medium,Senior,Python,Low,5,1,2,59,7,22,False,1,True,19.71
Bug Fix,Medium,Senior,Other,High,7,2,1,69,9,15,False,3,False,13.62
Client Meeting,High,Mid,Python,Medium,7,1,3,20,3,18,True,0,True,11.25
Testing,High,Tech Lead,Python,High,8,5,2,61,2,18,True,1,True,19.82
Testing,Medium,Junior,Other,High,9,5,2,35,9,5,False,2,True,19.14
Bug Fix,Medium,Tech Lead,Go,Low,6,2,2,60,3,17,True,4,False,13.23
Bug Fix,High,Tech Lead,C++,Medium,11,1,2,32,3,21,False,3,True,13.65
Refactoring,Medium,Tech Lead,Other,Critical,13,3,3,23,10,5,False,4,True,5.07
Feature Dev,High,Mid,Other,Low,13,1,1,23,4,11,True,0,False,10.35
Refactoring,High,Senior,C++,High,11,4,3,56,8,16,True,4,False,19.84
Documentation,Medium,Mid,C++,High,12,3,2,77,8,10,True,0,True,23.39
Design Review,High,Mid,Python,Critical,6,3,2,80,3,16,False,2,False,28.8
Documentation,Low,Junior,Other,High,9,4,1,58,8,10,True,0,False,11.75
Client Meeting,Medium,Senior,Java,High,10,4,2,44,2,11,False,2,True,12.03
Client Meeting,Medium,Tech Lead,Java,Low,13,1,1,48,9,5,True,0,False,7.56
Testing,Low,Junior,Other,High,10,4,1,26,5,4,True,4,False,7.37
Refactoring,High,Mid,JavaScript,Medium,8,4,3,74,1,18,False,3,True,54.11
Bug Fix,High,Junior,JavaScript,Low,13,2,1,42,9,0,True,2,True,51.03
Deployment,High,Mid,JavaScript,Critical,7,4,0,48,6,8,False,3,True,28.08
Design Review,Low,Mid,C++,Low,10,4,3,38,7,20,True,3,True,13.34
Code Review,High,Senior,Other,Medium,7,3,0,17,10,22,True,4,False,6.69
Client Meeting,Medium,Mid,Go,High,12,1,1,14,6,10,True,4,True,5.95
Code Review,High,Tech Lead,C++,High,6,5,1,15,3,12,True,3,False,3.84
Testing,High,Senior,C++,Critical,11,5,2,40,7,0,False,4,True,18.9
Deployment,Medium,Junior,Other,Low,10,5,0,62,8,11,False,0,True,37.66
Documentation,Medium,Junior,JavaScript,Medium,6,2,0,58,5,19,True,4,True,41.11
Refactoring,High,Senior,Other,Critical,5,4,3,59,6,12,False,4,True,27.88
Deployment,Low,Senior,JavaScript,High,12,5,2,30,5,7,False,4,False,4.25
Deployment,Low,Senior,C++,Medium,3,1,2,10,8,12,True,2,True,2.02
Design Review,Low,Senior,Go,Critical,8,1,0,10,2,3,False,2,False,1.08
Deployment,Low,Senior,Go,High,4,1,2,72,8,4,True,2,False,8.75
Deployment,High,Senior,C++,High,2,2,2,38,8,9,True,3,False,12.5
Design Review,Medium,Mid,Go,High,3,2,1,72,6,11,False,4,True,30.62
Design Review,Medium,Senior,C++,High,9,1,3,55,1,4,False,0,True,12.53
Client Meeting,Low,Mid,Java,High,8,1,2,6,8,3,False,3,False,1.05
Bug Fix,Medium,Tech Lead,Other,Critical,12,2,2,19,9,11,False,4,False,2.79
Code Review,High,Mid,C++,High,6,4,0,19,8,0,True,4,False,8.98
Bug Fix,Low,Junior,C++,High,10,1,0,17,8,23,True,3,False,4.48
Documentation,High,Junior,C++,Critical,12,5,1,71,6,10,True,3,True,62.3
Bug Fix,High,Senior,Go,Medium,11,5,3,60,7,21,True,2,True,30.38
Client Meeting,Medium,Mid,JavaScript,High,12,5,3,9,8,1,False,1,True,3.01
Refactoring,High,Mid,JavaScript,Low,4,2,2,17,4,19,True,0,False,7.65
Testing,Low,Tech Lead,JavaScript,Medium,8,3,1,59,7,21,True,2,False,6.19
Client Meeting,Medium,Junior,Other,High,9,1,1,5,1,14,True,2,False,1.82
Design Review,High,Mid,C++,Low,9,2,2,27,7,7,False,4,False,17.01
Bug Fix,Low,Tech Lead,C++,Low,2,2,1,29,3,2,False,1,False,3.35
Feature Dev,Medium,Junior,Python,Critical,13,5,1,46,10,9,False,2,False,14.9
Documentation,High,Senior,C++,High,12,2,1,51,6,8,False,0,True,19.36
Refactoring,Low,Senior,Python,Medium,7,4,1,69,1,21,False,1,True,12.81
Testing,High,Junior,Other,Medium,8,4,2,16,9,8,False,0,False,9.0
Client Meeting,High,Mid,Java,Low,2,3,1,29,4,10,False,0,True,19.57
Bug Fix,Low,Tech Lead,Java,Medium,7,1,1,4,9,15,False,2,False,0.42
Deployment,Low,Junior,C++,Critical,7,1,1,63,7,4,False,0,False,11.34
Client Meeting,High,Tech Lead,Other,Low,11,4,1,16,8,4,True,2,False,5.04
Refactoring,Low,Senior,Python,Critical,10,2,0,32,3,12,False,2,False,3.46
Documentation,High,Tech Lead,C++,High,2,5,0,55,1,10,True,4,True,22.74
Client Meeting,Medium,Junior,Go,Critical,11,1,1,42,3,10,True,4,False,15.88
Code Review,Low,Junior,Other,High,9,5,0,28,7,17,True,4,False,7.94
Deployment,Low,Tech Lead,JavaScript,Medium,2,3,1,12,10,7,False,1,False,1.15
Feature Dev,Medium,Junior,Java,Medium,2,4,0,74,9,14,False,2,True,44.96
Feature Dev,High,Mid,Java,High,9,2,2,28,10,20,True,0,False,9.45
Design Review,Medium,Mid,JavaScript,Low,8,3,2,36,7,18,True,2,True,17.5
Code Review,Low,Junior,JavaScript,Low,13,1,1,73,4,6,True,4,False,27.59
Design Review,High,Tech Lead,Go,Low,4,3,3,16,8,15,True,3,True,8.19
Testing,Low,Senior,C++,Critical,1,5,2,13,3,8,False,0,False,1.17
Bug Fix,Medium,Senior,Go,Medium,13,5,2,30,4,14,False,4,False,7.09
Bug Fix,High,Tech Lead,C++,Critical,8,4,0,5,7,8,True,2,False,1.05
Deployment,High,Mid,Python,Critical,13,2,0,33,4,5,False,4,False,13.86
Deployment,Medium,Tech Lead,JavaScript,High,2,1,2,73,5,17,True,4,False,12.07
Deployment,High,Mid,Python,Low,6,4,0,47,5,5,False,0,False,21.15
Design Review,High,Senior,C++,Critical,2,1,0,10,8,18,False,3,False,2.93
Deployment,Medium,Senior,Other,High,7,3,3,23,9,18,False,1,True,5.76
Client Meeting,High,Mid,JavaScript,High,5,1,1,78,1,19,False,3,False,34.22
Client Meeting,Low,Tech Lead,C++,Medium,11,4,0,31,9,4,False,4,False,3.8
Code Review,High,Tech Lead,C++,Critical,8,5,2,63,1,20,True,4,False,15.43
Feature Dev,Medium,Mid,C++,Critical,10,2,3,12,2,1,False,1,False,2.38
Bug Fix,Low,Tech Lead,Java,Medium,11,1,3,73,3,9,True,1,True,10.54
Testing,High,Mid,Python,Medium,4,5,1,36,5,12,True,3,True,26.32
Client Meeting,High,Senior,Other,Medium,11,1,3,48,3,6,False,3,False,17.55
Design Review,Low,Senior,Python,Medium,9,3,1,65,1,1,False,2,False,8.78
Refactoring,High,Senior,JavaScript,Critical,13,3,1,17,2,18,True,2,True,6.89
Design Review,Medium,Senior,Java,Low,6,2,3,56,5,4,False,2,True,20.41
Deployment,High,Tech Lead,Go,Critical,9,4,0,27,1,7,True,1,True,7.8
Testing,Low,Tech Lead,Python,Low,10,3,3,57,4,18,True,4,False,8.38
Refactoring,Medium,Mid,Go,Critical,4,1,2,24,5,18,False,3,True,8.42
Bug Fix,Medium,Tech Lead,JavaScript,High,2,4,0,34,4,5,True,3,True,7.83
Code Review,Medium,Junior,Other,Low,3,5,3,43,6,21,True,1,True,28.73
Feature Dev,High,Mid,Other,Low,2,4,2,42,6,8,True,3,False,24.57
Refactoring,Medium,Mid,Other,Low,1,3,3,57,3,14,False,0,True,23.08
Design Review,Low,Tech Lead,Other,Critical,5,3,1,10,4,23,False,0,False,0.7
Refactoring,Medium,Senior,Other,Medium,4,1,2,68,8,4,True,4,True,24.1
Client Meeting,High,Junior,C++,Low,13,1,2,46,8,19,True,1,True,51.23
Client Meeting,Medium,Junior,JavaScript,High,9,1,3,4,2,11,True,0,False,1.22
Deployment,High,Tech Lead,Other,Medium,1,5,1,48,2,18,True,0,True,15.75
